Reporting level,Province,Region,Indicator,Metric,Data year,Unit of measurement,Indicator result
Provincial,Manitoba,,Cataract Surgery,90th Percentile,2008,Days,151.0
Provincial,Manitoba,,Cataract Surgery,Volume,2008,Number of cases,4215.0
Provincial,Manitoba,,Colorectal Cancer Surgery,50th Percentile,2008,Days,
Provincial,Manitoba,,Colorectal Cancer Surgery,90th Percentile,2008,Days,
Provincial,Manitoba,,Colorectal Cancer Surgery,Volume,2008,Number of cases,
Provincial,Manitoba,,CT Scan,50th Percentile,2008,Days,
Provincial,Manitoba,,CT Scan,90th Percentile,2008,Days,
Provincial,Manitoba,,CT Scan,Volume,2008,Number of cases,
Provincial,Manitoba,,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,
Provincial,Manitoba,,Hip Fracture Repair,50th Percentile,2008,Hours,
Provincial,Manitoba,,Hip Fracture Repair,90th Percentile,2008,Hours,
Provincial,Manitoba,,Hip Fracture Repair,Volume,2008,Number of cases,
Provincial,Manitoba,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,
Provincial,Manitoba,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Hours,
Provincial,Manitoba,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Hours,
Provincial,Manitoba,,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,
Provincial,Manitoba,,Hip Replacement,% Meeting Benchmark,2008,Proportion,64.0
Provincial,Manitoba,,Hip Replacement,50th Percentile,2008,Days,139.0
Provincial,Manitoba,,Hip Replacement,90th Percentile,2008,Days,362.0
Provincial,Manitoba,,Hip Replacement,Volume,2008,Number of cases,646.0
Provincial,Manitoba,,Knee Replacement,% Meeting Benchmark,2008,Proportion,52.0
Provincial,Manitoba,,Knee Replacement,50th Percentile,2008,Days,174.0
Provincial,Manitoba,,Knee Replacement,90th Percentile,2008,Days,479.0
Provincial,Manitoba,,Knee Replacement,Volume,2008,Number of cases,1052.0
Provincial,Manitoba,,Lung Cancer Surgery,50th Percentile,2008,Days,
Provincial,Manitoba,,Lung Cancer Surgery,90th Percentile,2008,Days,
Provincial,Manitoba,,Lung Cancer Surgery,Volume,2008,Number of cases,
Provincial,Manitoba,,MRI Scan,50th Percentile,2008,Days,
Provincial,Manitoba,,MRI Scan,90th Percentile,2008,Days,
Provincial,Manitoba,,MRI Scan,Volume,2008,Number of cases,23392.0
Provincial,Manitoba,,Prostate Cancer Surgery,50th Percentile,2008,Days,
Provincial,Manitoba,,Prostate Cancer Surgery,90th Percentile,2008,Days,
Provincial,Manitoba,,Prostate Cancer Surgery,Volume,2008,Number of cases,
Provincial,Manitoba,,Radiation Therapy,% Meeting Benchmark,2008,Proportion,99.0
Provincial,Manitoba,,Radiation Therapy,50th Percentile,2008,Days,5.0
Provincial,Manitoba,,Radiation Therapy,90th Percentile,2008,Days,23.0
Provincial,Manitoba,,Radiation Therapy,Volume,2008,Number of cases,1507.0
Provincial,New Brunswick,,Bladder Cancer Surgery,50th Percentile,2008,Days,
Provincial,New Brunswick,,Bladder Cancer Surgery,90th Percentile,2008,Days,
Provincial,New Brunswick,,Bladder Cancer Surgery,Volume,2008,Number of cases,
Provincial,New Brunswick,,Breast Cancer Surgery,50th Percentile,2008,Days,
Provincial,New Brunswick,,Breast Cancer Surgery,90th Percentile,2008,Days,
Provincial,New Brunswick,,Breast Cancer Surgery,Volume,2008,Number of cases,
Provincial,New Brunswick,,CABG,% Meeting Benchmark,2008,Proportion,95.0
Provincial,New Brunswick,,CABG,50th Percentile,2008,Days,3.0
Provincial,New Brunswick,,CABG,90th Percentile,2008,Days,131.0
Provincial,New Brunswick,,CABG,Volume,2008,Number of cases,214.0
Provincial,New Brunswick,,Cataract Surgery,% Meeting Benchmark,2008,Proportion,74.0
Provincial,New Brunswick,,Cataract Surgery,50th Percentile,2008,Days,57.0
Provincial,New Brunswick,,Cataract Surgery,90th Percentile,2008,Days,194.0
Provincial,New Brunswick,,Cataract Surgery,Volume,2008,Number of cases,4460.0
Provincial,New Brunswick,,Colorectal Cancer Surgery,50th Percentile,2008,Days,
Provincial,New Brunswick,,Colorectal Cancer Surgery,90th Percentile,2008,Days,
Provincial,New Brunswick,,Colorectal Cancer Surgery,Volume,2008,Number of cases,
Provincial,New Brunswick,,CT Scan,50th Percentile,2008,Days,
Provincial,New Brunswick,,CT Scan,90th Percentile,2008,Days,
Provincial,New Brunswick,,CT Scan,Volume,2008,Number of cases,
Provincial,New Brunswick,,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,
Provincial,New Brunswick,,Hip Fracture Repair,50th Percentile,2008,Hours,
Provincial,New Brunswick,,Hip Fracture Repair,90th Percentile,2008,Hours,
Provincial,New Brunswick,,Hip Fracture Repair,Volume,2008,Number of cases,
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Hours,
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Hours,
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,
Provincial,New Brunswick,,Hip Replacement,% Meeting Benchmark,2008,Proportion,66.0
Provincial,New Brunswick,,Hip Replacement,50th Percentile,2008,Days,140.0
Provincial,New Brunswick,,Hip Replacement,90th Percentile,2008,Days,309.0
Provincial,New Brunswick,,Hip Replacement,Volume,2008,Number of cases,300.0
Provincial,New Brunswick,,Knee Replacement,% Meeting Benchmark,2008,Proportion,55.0
Provincial,New Brunswick,,Knee Replacement,50th Percentile,2008,Days,167.0
Provincial,New Brunswick,,Knee Replacement,90th Percentile,2008,Days,408.0
Provincial,New Brunswick,,Knee Replacement,Volume,2008,Number of cases,538.0
Provincial,New Brunswick,,Lung Cancer Surgery,50th Percentile,2008,Days,
Provincial,New Brunswick,,Lung Cancer Surgery,90th Percentile,2008,Days,
Provincial,New Brunswick,,Lung Cancer Surgery,Volume,2008,Number of cases,
Provincial,New Brunswick,,MRI Scan,50th Percentile,2008,Days,
Provincial,New Brunswick,,MRI Scan,90th Percentile,2008,Days,
Provincial,New Brunswick,,MRI Scan,Volume,2008,Number of cases,
Provincial,New Brunswick,,Prostate Cancer Surgery,50th Percentile,2008,Days,
Provincial,New Brunswick,,Prostate Cancer Surgery,90th Percentile,2008,Days,
Provincial,New Brunswick,,Prostate Cancer Surgery,Volume,2008,Number of cases,
Provincial,New Brunswick,,Radiation Therapy,% Meeting Benchmark,2008,Proportion,94.0
Provincial,New Brunswick,,Radiation Therapy,50th Percentile,2008,Days,
Provincial,New Brunswick,,Radiation Therapy,90th Percentile,2008,Days,
Provincial,New Brunswick,,Radiation Therapy,Volume,2008,Number of cases,
Provincial,Newfoundland and Labrador,,Bladder Cancer Surgery,50th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,Bladder Cancer Surgery,90th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,Bladder Cancer Surgery,Volume,2008,Number of cases,
Provincial,Newfoundland and Labrador,,Breast Cancer Surgery,50th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,Breast Cancer Surgery,90th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,Breast Cancer Surgery,Volume,2008,Number of cases,
Provincial,Newfoundland and Labrador,,CABG,% Meeting Benchmark,2008,Proportion,95.0
Provincial,Newfoundland and Labrador,,CABG,50th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,CABG,90th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,CABG,Volume,2008,Number of cases,210.0
Provincial,Newfoundland and Labrador,,Cataract Surgery,% Meeting Benchmark,2008,Proportion,
Provincial,Newfoundland and Labrador,,Cataract Surgery,50th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,Cataract Surgery,90th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,Cataract Surgery,Volume,2008,Number of cases,2079.0
Provincial,Newfoundland and Labrador,,Colorectal Cancer Surgery,50th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,Colorectal Cancer Surgery,90th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,Colorectal Cancer Surgery,Volume,2008,Number of cases,
Provincial,Newfoundland and Labrador,,CT Scan,50th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,CT Scan,90th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,CT Scan,Volume,2008,Number of cases,29890.0
Provincial,Newfoundland and Labrador,,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,
Provincial,Newfoundland and Labrador,,Hip Fracture Repair,50th Percentile,2008,Hours,
Provincial,Newfoundland and Labrador,,Hip Fracture Repair,90th Percentile,2008,Hours,
Provincial,Newfoundland and Labrador,,Hip Fracture Repair,Volume,2008,Number of cases,
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Hours,
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Hours,
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,
Provincial,Newfoundland and Labrador,,Hip Replacement,% Meeting Benchmark,2008,Proportion,
Provincial,Newfoundland and Labrador,,Hip Replacement,50th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,Hip Replacement,90th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,Hip Replacement,Volume,2008,Number of cases,164.0
Provincial,Newfoundland and Labrador,,Knee Replacement,% Meeting Benchmark,2008,Proportion,
Provincial,Newfoundland and Labrador,,Knee Replacement,50th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,Knee Replacement,90th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,Knee Replacement,Volume,2008,Number of cases,287.0
Provincial,Newfoundland and Labrador,,Lung Cancer Surgery,50th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,Lung Cancer Surgery,90th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,Lung Cancer Surgery,Volume,2008,Number of cases,
Provincial,Newfoundland and Labrador,,MRI Scan,50th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,MRI Scan,90th Percentile,2008,Days,
Provincial,Newfoundland and Labrador,,MRI Scan,Volume,2008,Number of cases,5512.0
