FISCAL_YEAR,QUARTER,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,PERCENTILE_COMP_50TH,PERCENTILE_COMP_90TH
2025/26,Q1,Northern,Fort St. John General Hospital,All Procedures,662,412,12,43.2
2025/26,Q1,Northern,Fort St. John General Hospital,Appendectomy,<5,0,,
2025/26,Q1,Northern,Fort St. John General Hospital,Biopsy in OR,<5,0,,
2025/26,Q1,Northern,Fort St. John General Hospital,Bowel Resection,<5,<5,,
2025/26,Q1,Northern,Fort St. John General Hospital,Cataract Surgery,416,48,48.1,50
2025/26,Q1,Northern,Fort St. John General Hospital,Cholecystectomy,10,24,10.6,19.7
2025/26,Q1,Northern,Fort St. John General Hospital,Cyst/Ganglion Removal,7,8,15.8,26.9
2025/26,Q1,Northern,Fort St. John General Hospital,Dental Surgery,36,43,6,18
2025/26,Q1,Northern,Fort St. John General Hospital,Examination Under Anaesthetic,<5,<5,,
2025/26,Q1,Northern,Fort St. John General Hospital,Excision Lesion/Tumour,6,8,17.7,28.9
2025/26,Q1,Northern,Fort St. John General Hospital,Hand/Wrist Surgery,6,13,16.1,28.4
2025/26,Q1,Northern,Fort St. John General Hospital,Hernia Repair - Abdominal,30,46,9.9,21.3
2025/26,Q1,Northern,Fort St. John General Hospital,Hip Replacement,13,10,19.9,26.1
2025/26,Q1,Northern,Fort St. John General Hospital,Knee Replacement,14,13,25,29.3
2025/26,Q1,Northern,Fort St. John General Hospital,Mastectomy,<5,6,2.6,5
2025/26,Q1,Northern,Fort St. John General Hospital,Nerve Surgery,<5,6,18.2,27.8
2025/26,Q1,Northern,Fort St. John General Hospital,Other Joint Reconstruction,<5,<5,,
2025/26,Q1,Northern,Fort St. John General Hospital,Other Orthopaedic Surgery,13,13,12.1,29.3
2025/26,Q1,Northern,Fort St. John General Hospital,Other Urology Surgery,<5,0,,
2025/26,Q1,Northern,Fort St. John General Hospital,Rectal Surgery,9,6,8,11.6
2025/26,Q1,Northern,Fort St. John General Hospital,Skin Tumour Removal,80,106,16.4,42.6
2025/26,Q1,Northern,Fort St. John General Hospital,Tonsillectomy/Adenoidectomy,5,36,14.6,46.8
2025/26,Q1,Northern,Fort St. John General Hospital,Uterine Surgery,<5,8,,
2025/26,Q1,Northern,Fort St. John General Hospital,Wound/Laceration Care,<5,5,7,30.5
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Abdominoplasty,<5,<5,,
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,All Other Procedures,<5,<5,,
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,All Procedures,205,343,4.6,14.3
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Biopsy in OR,<5,7,1.4,2.8
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Breast Reconstruction,5,8,3.1,6.9
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Breast Reduction,<5,<5,,
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Cholecystectomy,<5,6,4.4,6.4
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,D&C and Related Surgery,6,<5,,
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Dental Surgery,16,62,2,5.1
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Examination Under Anaesthetic,<5,<5,,
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Excision Lesion/Tumour,10,11,3.1,7.9
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Fallopian Tube/Ovarian Surgery,6,<5,,
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Hernia Repair - Abdominal,24,26,7.9,12.2
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Knee - ACL Repair,<5,<5,,
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Knee Arthroscopy,<5,<5,,
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Laparoscopy,<5,11,5.9,12.7
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Mastectomy,<5,7,1.7,4.4
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Myringotomy,<5,8,4.1,6.6
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Nasal Surgery,25,46,12.9,22.7
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Other Ear Surgery,<5,0,,
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Other Eye Surgery,<5,<5,,
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Other Orthopaedic Surgery,<5,<5,,
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Other Urology Surgery,<5,0,,
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Shoulder Surgery,<5,<5,,
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Skin Surgery,<5,<5,,
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Skin Tumour Removal,28,42,2.9,5.9
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Tonsillectomy/Adenoidectomy,35,34,10.8,18.6
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Uterine Surgery,10,25,7.4,14.5
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Vaginal Repair,<5,<5,,
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Varicose Veins Ligation/Stripping,<5,<5,,
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Vascular Surgery - Other,<5,8,1.6,2.8
2025/26,Q1,Northern,G.R. Baker Memorial Hospital,Wound/Laceration Care,<5,<5,,
2025/26,Q1,Northern,Kitimat General Hospital,All Other Procedures,8,15,1.6,3.5
2025/26,Q1,Northern,Kitimat General Hospital,All Procedures,101,173,2,7.6
2025/26,Q1,Northern,Kitimat General Hospital,Cholecystectomy,<5,<5,,
2025/26,Q1,Northern,Kitimat General Hospital,Dental Surgery,<5,22,2,4.6
2025/26,Q1,Northern,Kitimat General Hospital,Examination Under Anaesthetic,<5,<5,,
2025/26,Q1,Northern,Kitimat General Hospital,Foreign Body Removal Surgery,<5,0,,
2025/26,Q1,Northern,Kitimat General Hospital,Hand/Wrist Surgery,<5,<5,,
2025/26,Q1,Northern,Kitimat General Hospital,Hernia Repair - Abdominal,8,5,4,6.7
2025/26,Q1,Northern,Kitimat General Hospital,Hip Replacement,<5,10,7.4,9.3
2025/26,Q1,Northern,Kitimat General Hospital,Knee - ACL Repair,<5,6,1.7,2.4
2025/26,Q1,Northern,Kitimat General Hospital,Knee - Meniscectomy,<5,6,1.6,2.2
2025/26,Q1,Northern,Kitimat General Hospital,Knee Arthroscopy,<5,11,1.4,2
2025/26,Q1,Northern,Kitimat General Hospital,Knee Replacement,21,22,5.6,9.5
2025/26,Q1,Northern,Kitimat General Hospital,Other Joint Reconstruction,<5,10,1.4,2.9
2025/26,Q1,Northern,Kitimat General Hospital,Other Orthopaedic Surgery,25,23,1.6,4.4
2025/26,Q1,Northern,Kitimat General Hospital,Skin Tumour Removal,9,11,2,4.3
2025/26,Q1,Northern,Kitimat General Hospital,Wound/Laceration Care,<5,<5,,
2025/26,Q1,Northern,Ksyen Regional Hospital,Abdominoplasty,9,10,14.1,24
2025/26,Q1,Northern,Ksyen Regional Hospital,All Other Procedures,77,32,6.4,25.1
2025/26,Q1,Northern,Ksyen Regional Hospital,All Procedures,617,632,5.1,15
2025/26,Q1,Northern,Ksyen Regional Hospital,Appendectomy,<5,<5,,
2025/26,Q1,Northern,Ksyen Regional Hospital,Biopsy in OR,<5,5,4.1,10.4
2025/26,Q1,Northern,Ksyen Regional Hospital,Bladder Surgery,8,<5,,
2025/26,Q1,Northern,Ksyen Regional Hospital,Bowel Resection,<5,9,7.1,10.7
2025/26,Q1,Northern,Ksyen Regional Hospital,Breast Biopsy,<5,<5,,
2025/26,Q1,Northern,Ksyen Regional Hospital,Breast Reconstruction,6,<5,,
2025/26,Q1,Northern,Ksyen Regional Hospital,Breast Reduction,11,9,19,23.3
2025/26,Q1,Northern,Ksyen Regional Hospital,Cataract Surgery,193,278,4.1,7.1
2025/26,Q1,Northern,Ksyen Regional Hospital,Cholecystectomy,17,18,9,20.6
2025/26,Q1,Northern,Ksyen Regional Hospital,Colostomy/Ileostomy,<5,<5,,
2025/26,Q1,Northern,Ksyen Regional Hospital,Cone Biopsy,7,7,5.1,16.5
2025/26,Q1,Northern,Ksyen Regional Hospital,Cyst/Ganglion Removal,6,<5,,
2025/26,Q1,Northern,Ksyen Regional Hospital,D&C and Related Surgery,10,12,9.5,15.8
2025/26,Q1,Northern,Ksyen Regional Hospital,Dental Surgery,53,55,10,14.2
2025/26,Q1,Northern,Ksyen Regional Hospital,Examination Under Anaesthetic,14,14,6.5,11.3
2025/26,Q1,Northern,Ksyen Regional Hospital,Excision Lesion/Tumour,9,7,4.7,5.3
2025/26,Q1,Northern,Ksyen Regional Hospital,Fallopian Tube/Ovarian Surgery,15,6,15.1,19.3
2025/26,Q1,Northern,Ksyen Regional Hospital,Hand/Wrist Surgery,<5,0,,
2025/26,Q1,Northern,Ksyen Regional Hospital,Hernia Repair - Abdominal,31,17,6.9,12.2
2025/26,Q1,Northern,Ksyen Regional Hospital,Kidney/Bladder Stone Removal,<5,<5,,
2025/26,Q1,Northern,Ksyen Regional Hospital,Knee Arthroscopy,<5,0,,
2025/26,Q1,Northern,Ksyen Regional Hospital,Laparoscopy,5,<5,,
2025/26,Q1,Northern,Ksyen Regional Hospital,Lipectomy,<5,<5,,
2025/26,Q1,Northern,Ksyen Regional Hospital,Male Reproductive Surgery,6,<5,,
2025/26,Q1,Northern,Ksyen Regional Hospital,Mastectomy,5,22,3.2,4.4
2025/26,Q1,Northern,Ksyen Regional Hospital,Myringotomy,<5,<5,,
2025/26,Q1,Northern,Ksyen Regional Hospital,Nasal Surgery,10,<5,,
2025/26,Q1,Northern,Ksyen Regional Hospital,Other Eye Surgery,<5,<5,,
2025/26,Q1,Northern,Ksyen Regional Hospital,Other Orthopaedic Surgery,8,15,3.7,7.7
2025/26,Q1,Northern,Ksyen Regional Hospital,Other Urology Surgery,36,21,11.9,22.1
2025/26,Q1,Northern,Ksyen Regional Hospital,Prostate Surgery,<5,8,8.9,15.8
2025/26,Q1,Northern,Ksyen Regional Hospital,Rectal Surgery,<5,0,,
2025/26,Q1,Northern,Ksyen Regional Hospital,Skin Surgery,<5,<5,,
2025/26,Q1,Northern,Ksyen Regional Hospital,Skin Tumour Removal,6,15,4.7,8.7
2025/26,Q1,Northern,Ksyen Regional Hospital,Uterine Surgery,31,26,6.1,20.5
2025/26,Q1,Northern,Ksyen Regional Hospital,Vaginal Repair,5,0,,
2025/26,Q1,Northern,Ksyen Regional Hospital,Varicose Veins Ligation/Stripping,6,<5,,
2025/26,Q1,Northern,Ksyen Regional Hospital,Vascular Surgery - Other,<5,<5,,
2025/26,Q1,Northern,Ksyen Regional Hospital,Wound/Laceration Care,<5,6,3.2,6.4
2025/26,Q1,Northern,Prince Rupert Regional Hospital,All Procedures,151,202,4,16.4
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Biopsy in OR,<5,0,,
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Cholecystectomy,<5,<5,,
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Dental Surgery,6,29,3,7.5
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Examination Under Anaesthetic,<5,<5,,
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Excision Lesion/Tumour,<5,<5,,
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Foot/Ankle Surgery,<5,<5,,
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Fracture Repair,<5,0,,
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Hand/Wrist Surgery,<5,<5,,
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Hernia Repair - Abdominal,6,6,8.4,19.3
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Hip Replacement,<5,<5,,
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Knee - ACL Repair,<5,<5,,
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Knee Arthroscopy,7,13,1.7,5.6
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Knee Replacement,29,24,5.6,24.1
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Male Reproductive Surgery,8,5,3.4,3.4
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Nasal Surgery,<5,<5,,
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Nerve Surgery,<5,0,,
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Other Joint Reconstruction,13,15,5.7,10.5
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Other Orthopaedic Surgery,19,42,2.9,10.7
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Other Urology Surgery,11,18,7.6,11.2
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Prostate Surgery,<5,0,,
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Skin Tumour Removal,<5,<5,,
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Tendon Surgery,5,<5,,
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Tonsillectomy/Adenoidectomy,20,14,8.9,43.3
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Uterine Surgery,<5,<5,,
2025/26,Q1,Northern,Prince Rupert Regional Hospital,Varicose Veins Ligation/Stripping,<5,<5,,
2025/26,Q1,Northern,St. John Hospital,All Other Procedures,<5,<5,,
2025/26,Q1,Northern,St. John Hospital,All Procedures,313,185,11.6,51.1
2025/26,Q1,Northern,St. John Hospital,Breast Reconstruction,<5,<5,,
2025/26,Q1,Northern,St. John Hospital,Cholecystectomy,<5,<5,,
2025/26,Q1,Northern,St. John Hospital,Cyst/Ganglion Removal,10,5,4.1,14.6
2025/26,Q1,Northern,St. John Hospital,D&C and Related Surgery,10,14,10.7,17.9
2025/26,Q1,Northern,St. John Hospital,Dental Surgery,13,22,4.4,7.8
2025/26,Q1,Northern,St. John Hospital,Examination Under Anaesthetic,<5,<5,,
2025/26,Q1,Northern,St. John Hospital,Excision Lesion/Tumour,<5,5,10.7,15.7
2025/26,Q1,Northern,St. John Hospital,Fallopian Tube/Ovarian Surgery,8,8,7.1,16.8
2025/26,Q1,Northern,St. John Hospital,Foot/Ankle Surgery,<5,0,,
2025/26,Q1,Northern,St. John Hospital,Fracture Repair,<5,<5,,
2025/26,Q1,Northern,St. John Hospital,Hand/Wrist Surgery,12,6,11.4,13.3
2025/26,Q1,Northern,St. John Hospital,Hernia Repair - Abdominal,17,13,11.3,18.8
2025/26,Q1,Northern,St. John Hospital,Knee - ACL Repair,6,<5,,
2025/26,Q1,Northern,St. John Hospital,Knee - Meniscectomy,13,6,18.4,22.4
2025/26,Q1,Northern,St. John Hospital,Knee Arthroscopy,9,8,13.9,22.4
2025/26,Q1,Northern,St. John Hospital,Laparoscopy,<5,0,,
2025/26,Q1,Northern,St. John Hospital,Ligament Surgery,<5,<5,,
2025/26,Q1,Northern,St. John Hospital,Male Reproductive Surgery,7,7,10.4,17.8
2025/26,Q1,Northern,St. John Hospital,Myringotomy,<5,5,13,14.8
2025/26,Q1,Northern,St. John Hospital,Nasal Surgery,35,6,42.1,64.3
2025/26,Q1,Northern,St. John Hospital,Other Joint Reconstruction,11,<5,,
2025/26,Q1,Northern,St. John Hospital,Other Orthopaedic Surgery,19,9,12.7,19.2
2025/26,Q1,Northern,St. John Hospital,Rectal Surgery,<5,<5,,
2025/26,Q1,Northern,St. John Hospital,Shoulder Surgery,<5,0,,
2025/26,Q1,Northern,St. John Hospital,Skin Tumour Removal,<5,5,16,26.4
2025/26,Q1,Northern,St. John Hospital,Tendon Surgery,<5,<5,,
2025/26,Q1,Northern,St. John Hospital,Tonsillectomy/Adenoidectomy,110,26,55.1,69.4
2025/26,Q1,Northern,St. John Hospital,Uterine Surgery,<5,5,8.3,9.1
2025/26,Q1,Northern,St. John Hospital,Vaginal Repair,<5,0,,
2025/26,Q1,Northern,St. John Hospital,Varicose Veins Ligation/Stripping,<5,<5,,
2025/26,Q1,Northern,St. John Hospital,Wound/Laceration Care,<5,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,All Other Procedures,69,81,5,24
2025/26,Q1,Northern,University Hospital of Northern British Columbia,All Procedures,2286,1174,9.9,53.7
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Aortic Aneurysm Repair,<5,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Appendectomy,<5,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Biopsy in OR,9,8,2.5,3.8
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Bladder Surgery,21,56,3.9,6.6
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Bowel Resection,7,21,4.9,18.6
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Breast Biopsy,<5,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Breast Reconstruction,11,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Breast Reduction,40,24,8.2,11.6
2025/26,Q1,Northern,University Hospital of Northern British Columbia,CSF Drainage,<5,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Cataract Surgery,60,11,27.4,42
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Cholecystectomy,29,43,6,20.4
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Colostomy/Ileostomy,8,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Cone Biopsy,<5,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Cyst/Ganglion Removal,<5,9,12.3,26.7
2025/26,Q1,Northern,University Hospital of Northern British Columbia,D&C and Related Surgery,64,33,4.9,14
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Dental Surgery,56,21,19.3,36.1
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Endarterectomy,7,9,3.4,4.5
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Esophagectomy,<5,0,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Examination Under Anaesthetic,<5,7,8.3,25.1
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Excision Lesion/Tumour,22,16,8.1,24.4
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Facial Bone Reconstruction,30,11,26.7,41.1
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Fallopian Tube/Ovarian Surgery,85,26,19.8,39.3
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Fistula Repair - Non Vascular,<5,0,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Foot/Ankle Surgery,16,6,14.9,17
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Fracture Repair,<5,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Hand/Wrist Surgery,6,5,17.6,29.5
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Hernia Repair - Abdominal,55,76,11.6,30.8
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Hernia Repair - Hiatal,<5,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Hip Replacement,240,92,24.1,84.5
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Kidney/Bladder Stone Removal,<5,8,5.7,13.3
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Knee - ACL Repair,9,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Knee - Meniscectomy,34,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Knee Arthroscopy,8,0,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Knee Replacement,666,169,43.3,86.5
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Laparoscopy,6,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Laparotomy,<5,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Ligament Surgery,<5,0,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Male Reproductive Surgery,12,15,6.9,11.5
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Mastectomy,10,28,3.4,5.4
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Myringotomy,<5,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Nasal Surgery,78,15,20.9,38.1
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Nerve Surgery,<5,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Oral Cavity & Pharynx Surgery,21,11,15.3,22.9
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Other Ear Surgery,<5,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Other Eye Surgery,22,9,22.9,51.4
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Other Joint Reconstruction,39,15,21.4,59.4
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Other Orthopaedic Surgery,58,45,7.1,24
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Other Urology Surgery,16,34,4.2,13.9
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Parotidectomy,6,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Prostate Surgery,23,45,4.6,13.2
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Rectal Surgery,<5,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Shoulder Surgery,141,36,53.2,96.6
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Skin Surgery,<5,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Skin Tumour Removal,14,18,3.9,15.6
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Tendon Surgery,13,8,9.4,14.6
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Thyroidectomy,<5,6,5.1,9.8
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Tonsillectomy/Adenoidectomy,27,10,37.4,42.3
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Uterine Surgery,173,74,26.6,46.8
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Vaginal Repair,23,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Vascular Bypass Graft - Non Cardiac,<5,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Vascular Surgery - Other,<5,7,5.9,8.7
2025/26,Q1,Northern,University Hospital of Northern British Columbia,Wound/Laceration Care,<5,6,5.1,59.4
2025/26,Q1,Northern,University Hospital of Northern British Columbia Surgical Centre,All Other Procedures,332,183,13.6,24.1
2025/26,Q1,Northern,University Hospital of Northern British Columbia Surgical Centre,All Procedures,970,915,11,20.3
2025/26,Q1,Northern,University Hospital of Northern British Columbia Surgical Centre,Cataract Surgery,612,680,11,18
2025/26,Q1,Northern,University Hospital of Northern British Columbia Surgical Centre,Cone Biopsy,9,29,3,7.2
2025/26,Q1,Northern,University Hospital of Northern British Columbia Surgical Centre,Foot/Ankle Surgery,<5,0,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia Surgical Centre,Nerve Surgery,<5,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia Surgical Centre,Other Joint Reconstruction,<5,0,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia Surgical Centre,Other Orthopaedic Surgery,5,9,11.4,25
2025/26,Q1,Northern,University Hospital of Northern British Columbia Surgical Centre,Skin Tumour Removal,<5,<5,,
2025/26,Q1,Northern,University Hospital of Northern British Columbia Surgical Centre,Tendon Surgery,6,5,9.4,18.2
2025/26,Q1,Northern,Wrinch Memorial Hospital,All Other Procedures,<5,<5,,
2025/26,Q1,Northern,Wrinch Memorial Hospital,All Procedures,17,25,4.3,13.3
2025/26,Q1,Northern,Wrinch Memorial Hospital,Dental Surgery,<5,16,2.9,11.8
2025/26,Q1,Northern,Wrinch Memorial Hospital,Examination Under Anaesthetic,<5,<5,,
2025/26,Q1,Northern,Wrinch Memorial Hospital,Hernia Repair - Abdominal,<5,0,,
2025/26,Q1,Northern,Wrinch Memorial Hospital,Other Orthopaedic Surgery,<5,<5,,
2025/26,Q1,Northern,Wrinch Memorial Hospital,Rectal Surgery,<5,0,,
2025/26,Q1,Northern,Wrinch Memorial Hospital,Skin Tumour Removal,6,<5,,
2025/26,Q1,Northern,Wrinch Memorial Hospital,Uterine Surgery,<5,<5,,
2025/26,Q1,Provincial Health Services Authority,All Facilities,All Other Procedures,399,400,3.1,15.2
2025/26,Q1,Provincial Health Services Authority,All Facilities,All Procedures,4863,3344,7,29.7
2025/26,Q1,Provincial Health Services Authority,All Facilities,Appendectomy,<5,<5,,
2025/26,Q1,Provincial Health Services Authority,All Facilities,Biopsy in OR,46,57,0.9,7.3
2025/26,Q1,Provincial Health Services Authority,All Facilities,Bladder Surgery,10,8,5.4,9.8
2025/26,Q1,Provincial Health Services Authority,All Facilities,Bowel Resection,<5,<5,,
2025/26,Q1,Provincial Health Services Authority,All Facilities,Breast Biopsy,<5,28,1.9,4.8
2025/26,Q1,Provincial Health Services Authority,All Facilities,Breast Reduction,7,0,,
2025/26,Q1,Provincial Health Services Authority,All Facilities,CSF Drainage,20,21,0.9,3
2025/26,Q1,Provincial Health Services Authority,All Facilities,Cataract Surgery,8,7,1.6,7.8
2025/26,Q1,Provincial Health Services Authority,All Facilities,Cholecystectomy,<5,6,4.6,11.9
2025/26,Q1,Provincial Health Services Authority,All Facilities,Colostomy/Ileostomy,6,<5,,
2025/26,Q1,Provincial Health Services Authority,All Facilities,Cone Biopsy,<5,7,2.4,4.5
2025/26,Q1,Provincial Health Services Authority,All Facilities,Cranial Surgery,8,20,4.9,10.7
2025/26,Q1,Provincial Health Services Authority,All Facilities,Cyst/Ganglion Removal,26,11,8.9,29.3
2025/26,Q1,Provincial Health Services Authority,All Facilities,D&C and Related Surgery,115,203,1.1,11.7
2025/26,Q1,Provincial Health Services Authority,All Facilities,Dental Surgery,759,313,18.3,33.2
2025/26,Q1,Provincial Health Services Authority,All Facilities,Examination Under Anaesthetic,134,82,4.9,22
2025/26,Q1,Provincial Health Services Authority,All Facilities,Excision Gynecomastia,6,<5,,
2025/26,Q1,Provincial Health Services Authority,All Facilities,Excision Lesion/Tumour,106,82,8.4,19
2025/26,Q1,Provincial Health Services Authority,All Facilities,Facial Bone Reconstruction,17,<5,,
2025/26,Q1,Provincial Health Services Authority,All Facilities,Fallopian Tube/Ovarian Surgery,114,81,11.1,27
2025/26,Q1,Provincial Health Services Authority,All Facilities,Fistula Repair - Non Vascular,9,<5,,
2025/26,Q1,Provincial Health Services Authority,All Facilities,Foot/Ankle Surgery,<5,<5,,
2025/26,Q1,Provincial Health Services Authority,All Facilities,Foreign Body Removal Surgery,<5,<5,,
2025/26,Q1,Provincial Health Services Authority,All Facilities,Fracture Repair,48,26,2,83.7
2025/26,Q1,Provincial Health Services Authority,All Facilities,Free Flap Graft,<5,0,,
2025/26,Q1,Provincial Health Services Authority,All Facilities,Gastrostomy/Jejunostomy,31,<5,,
2025/26,Q1,Provincial Health Services Authority,All Facilities,Hand/Wrist Surgery,<5,<5,,
2025/26,Q1,Provincial Health Services Authority,All Facilities,Hernia Repair - Abdominal,143,72,11.1,29.1
2025/26,Q1,Provincial Health Services Authority,All Facilities,Hernia Repair - Hiatal,<5,0,,
2025/26,Q1,Provincial Health Services Authority,All Facilities,Hip Replacement,<5,0,,
2025/26,Q1,Provincial Health Services Authority,All Facilities,Knee - ACL Repair,50,31,16.6,23.4
2025/26,Q1,Provincial Health Services Authority,All Facilities,Knee - Meniscectomy,12,9,19.6,55.9
2025/26,Q1,Provincial Health Services Authority,All Facilities,Knee Arthroscopy,11,11,2.3,41.7
2025/26,Q1,Provincial Health Services Authority,All Facilities,Laparoscopy,16,7,9.7,79.2
2025/26,Q1,Provincial Health Services Authority,All Facilities,Laparotomy,5,8,1.5,6.9
